feature	coefficient
physical_health	1.9339062831326275
employment8	0.7715548565537552
age1	0.5802233210412817
med_cost1	0.45382092739518054
smoker1	0.4347071418042461
age13	-0.4239326540683623
age2	0.3835027691861759
med_cost2	-0.33319888047280954
sex1	-0.32185688477018765
age3	0.29104237251393184
marital1	-0.282181098182746
age12	-0.2640480462164057
age4	0.2572882920341841
asthma2	-0.25550441702491716
employment3	0.25236128005175007
employment4	0.22611697824192373
age11	-0.21929718118695354
HIV_test1	0.207344620424098
own_home1	-0.18138842951912754
age5	0.17837771710097977
high_cholesterol2	-0.1739902120239388
blind1	0.17327742140563993
smoker4	-0.1677945530555109
sex2	0.16752828017295174
age10	-0.15876537595533516
alcohol_consumption	0.14745483294295955
age6	0.1362118413983813
HIV_test2	-0.13425574159144746
smoker2	0.1331701092668948
age9	-0.12736843048391133
race8	-0.12642140178618075
race2	-0.12554398307256853
exercise1	-0.12062311833256475
marital4	0.11810171154849464
income1	0.11425271345460285
race1	0.11138418181018926
bmi	0.109197553543431
blind2	-0.0901439342842833
employment6	0.08839092816805298
strength_activity_index1	-0.08178635945792657
deaf2	-0.07969271925695412
high_blood_pressure3	-0.0751234902474546
french_fries	0.06751967547730428
income5	-0.0657726689567934
urban_status1	0.058224272575143024
education3	0.0578707465766644
deaf1	0.052769976700249466
age7	0.052147165866261065
race7	0.050789814443416265
strength_activity_index2	0.05023069865481193
income2	0.04818569560198971
chol_check1	-0.037389325511576685
stroke2	-0.03701530503562155
fruits	-0.033501658613454055
stroke7	0.03203047230354761
diabetes4	0.02985403256893825
chol_check9	0.029349791960709925
vegetables	-0.016795556785923555
race4	-0.016014095547987148
own_home3	0.013725716609757662
asthma1	0.011986215160934642
employment7	-0.009224884971291734
exercise2	0.007658110418098604
urban_status2	-0.005481826328908388
health_coverage2	-0.0010149240866793672
